ID do museu,Dificuldade locomoção,Deficiencia Visual e Auditiva,Pessoa Estrangeira,Grupos_Acessibilidade_Filtro
81700,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Circuito de visitação adaptado",Não informado,Não informado,Acesso e mobilidade (Locomoção)
81701,Não informado,Não informado,Não informado,
81702,Não informado,Não informado,Não informado,
81704,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado",Piso tátil,"Guia, monitor e/ou mediador","Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81703,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado",Tradutor de Língua Brasileira de Sinais (LIBRAS),Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81705,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81706,"Sanitário adaptado, Banheiros adaptados, Bebedouro adaptado",Não possui,"Sinalização visual, Material de divulgação impresso, Site em outros idiomas","Acesso e mobilidade (Locomoção), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
81707,Não possui,Não possui,Não possui,
81708,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81709,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81710,Não informado,Não informado,Não informado,
81711,Não informado,Não informado,Não informado,
81712,Não possui,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso",Apoio humano ou equipamentos para assistência
81713,Não possui,Não possui,Não possui,
81714,Não informado,Não informado,Não informado,
81715,Não informado,Não informado,Não informado,
81716,"Corrimão nas escadas e rampas, Rampa de acesso, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81717,Não possui,Não possui,Não possui,
81718,Não possui,Não possui,Não possui,
81719,Não informado,Não informado,Não informado,
81721,Não informado,Não informado,Não informado,
81722,Não possui,Não possui,Não possui,
81723,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante, Bebedouro adaptado",Não informado,Não informado,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81724,Não informado,Não informado,Não informado,
81725,Não informado,Não informado,Não informado,
81726,"Corrimão nas escadas e rampas, Banheiros adaptados, Bebedouro adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81727,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81728,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81729,Não informado,Não informado,Não informado,
81730,Circuito de visitação adaptado,Não informado,Não informado,Acesso e mobilidade (Locomoção)
81731,Não informado,Não informado,Não informado,
81732,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81733,Não informado,Não informado,Não informado,
81734,Não possui,Não possui,Não possui,
81735,Não possui,Não possui,Não possui,
81736,Não possui,Não possui,Não possui,
81737,Não possui,Não possui,Não possui,
81738,"Corrimão nas escadas e rampas, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81739,Rampa de acesso,"Maquetes táteis ou mapas em relevo, Obras e reproduções táteis",Não possui,Acesso e mobilidade (Locomoção)
81740,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Banheiros adaptados, Elevador adaptado",Não informado,Não informado,"Acesso e mobilidade (Locomoção)"
81741,Não informado,Não informado,"Guia, monitor e/ou mediador, Material de divulgação impresso",Apoio humano ou equipamentos para assistência
81742,Não informado,Não informado,Não informado,
81743,Não informado,Não informado,Não informado,
81744,Não informado,Não informado,Não informado,
81745,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante",Não informado,Não informado,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81746,Não possui,Não possui,Não possui,
81749,Não informado,Não informado,Não informado,
81747,"Rampa de acesso, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81750,"Banheiros adaptados, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81748,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado",Maquetes táteis ou mapas em relevo,Painéis bilingues,"Acesso e mobilidade (Locomoção)"
81751,Não possui,Não possui,Não possui,
81752,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81753,Não informado,Não informado,Não informado,
81755,Não informado,Não informado,Não informado,
81754,Banheiros adaptados,"Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
81756,Não informado,Não informado,Não informado,
81757,Não possui,Não possui,Não possui,
81758,"Rampa de acesso, Banheiros adaptados, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81759,Não possui,Não possui,Não possui,
81760,Não informado,Não informado,Não informado,
81761,Não informado,Não informado,Não informado,
81762,Não informado,Não informado,Não informado,
81763,Não informado,Não informado,Não informado,
81764,Não possui,Não possui,Não possui,
81765,Não informado,Não informado,Não informado,
81766,Não informado,Não informado,Não informado,
81768,Não possui,Não possui,Não possui,
81767,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81769,Não possui,Não possui,Não possui,
81770,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,Material de divulgação impresso,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81771,Rampa de acesso,Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81772,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81773,"Elevador, Sanitário adaptado, A edificação é adaptada para público com mobilidade reduzida","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille, Audiodescrição das exposições e postagens nas redes sociais, De Montaury a Loureiro""","Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81774,Não possui,Não possui,Não possui,
81775,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados",Não informado,Não informado,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81776,"Corrimão nas escadas e rampas, Rampa de acesso, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81777,Não informado,Não informado,Não informado,
81778,"Corrimão nas escadas e rampas, Bebedouro adaptado",Não informado,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81779,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81780,Não possui,Não possui,Não possui,
81781,Não possui,Não possui,Não possui,
81782,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81783,Não possui,Não possui,Não possui,
81784,"Corrimão nas escadas e rampas, Elevador, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81785,Não informado,Não informado,Não informado,
81786,Não informado,Não informado,Não informado,
81788,Não informado,Não informado,Não informado,
81789,Não informado,Não informado,Não informado,
81790,Não informado,Não informado,Não informado,
81791,Não possui,Não possui,Não possui,
81792,Corrimão nas escadas e rampas,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81793,Não informado,Não informado,Não informado,
81794,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado",Obras e reproduções táteis,"Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81795,Não informado,Não informado,Não informado,
81796,Não possui,Não possui,Não possui,
81797,Não informado,Não informado,Não informado,
81798,Não informado,Não informado,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
81799,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81800,Não informado,Não informado,Não informado,
81801,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Circuito de visitação adaptado",Não informado,Não informado,Acesso e mobilidade (Locomoção)
81802,Não possui,Não possui,Não possui,
81803,Não informado,Não informado,Não informado,
81804,Não informado,Não informado,Não informado,
81806,"Corrimão nas escadas e rampas, Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Acessibilidade Comunicacional – impressão ampliada,"Há duas salas com etiquetas em espanhol, inglês e português",Acesso e mobilidade (Locomoção)
81807,Não possui,Não possui,Profissionais da casa dominam uma segunda língua,
81808,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81809,Não possui,Não possui,Não possui,
81810,Não informado,Não informado,Não informado,
81811,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
81812,Não possui,Não possui,Não possui,
81813,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado",Tradutor de Língua Brasileira de Sinais (LIBRAS),"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81814,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81815,Corrimão nas escadas e rampas,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81816,Não possui,Não possui,Não possui,
81817,Não informado,Não informado,Não informado,
81818,Não possui,Não possui,Não possui,
81819,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81820,Não informado,Não informado,Não informado,
81821,Não possui,Não possui,Não possui,
81822,Não possui,Não possui,Não possui,
81823,Não possui,Não possui,Não possui,
81824,Não informado,Não informado,Não informado,
81825,Não possui,Não possui,Não possui,
81826,Não informado,Não informado,Não informado,
81827,"Corrimão nas escadas e rampas, Rampa de acesso, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81828,Não possui,Não possui,Não possui,
81829,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Banheiros adaptados, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81830,Não informado,Não informado,Não informado,
81831,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81832,Não possui,Não possui,Não possui,
81833,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
81834,"Corrimão nas escadas e rampas, Circuito de visitação adaptado",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81835,"Corrimão nas escadas e rampas, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não informado,Não informado,Acesso e mobilidade (Locomoção)
81836,Não possui,Não possui,Não possui,
81837,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81838,Não informado,Não informado,Não informado,
81839,Não possui,Não possui,Não possui,
81841,Não possui,Não possui,Não possui,
81842,Não informado,Não informado,Não informado,
81843,"Elevador, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Bebedouro adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81844,Não informado,Não informado,Não informado,
81845,Não possui,Não possui,Não possui,
81846,Não informado,Não informado,Não informado,
81847,Não possui,Não possui,Não possui,
81848,Não possui,Não possui,Não possui,
81849,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81850,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado",Piso tátil,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81851,Não possui,Não possui,Não possui,
81852,Não informado,Não informado,Não informado,
81853,Não informado,Não informado,Não informado,
81854,Não informado,Não informado,Não informado,
81855,Não informado,Não informado,Não informado,
81856,Não informado,Não informado,Não informado,
81857,Não informado,Não informado,Não informado,
81858,Não informado,Não informado,Não informado,
81859,Não informado,Não informado,Não informado,
81860,Não informado,Não informado,Não informado,
81861,Não informado,Não informado,Não informado,
81862,Não informado,Não informado,Não informado,
81863,Não possui,Não possui,Não possui,
81864,Não informado,Não informado,Não informado,
81865,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81866,Não possui,Não possui,Não possui,
81868,Não informado,Não informado,Não informado,
81870,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81871,Não informado,Não informado,Não informado,
81872,Não possui,Não possui,Não possui,
81873,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
81874,Não possui,Não possui,Não possui,
81875,"Corrimão nas escadas e rampas, Rampa de acesso","Maquetes táteis ou mapas em relevo, Sinalização tátil",Material de divulgação impresso,"Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81876,"Rampa de acesso, Sanitário adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81877,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Bebedouro adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81878,Não informado,Não informado,Não informado,
81879,Não possui,Não possui,Não possui,
81880,Elevador,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
81881,Não informado,Não informado,Não informado,
81882,Não informado,Não informado,Não informado,
81883,Não informado,Não informado,Não informado,
81884,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
81885,Não possui,Não possui,Não possui,
81886,Não informado,Não informado,Não informado,
81887,Não possui,Não possui,Não possui,
81888,Não informado,Não informado,Não informado,
81889,Não informado,Não informado,Não informado,
81890,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
81891,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado",Não possui,"Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81892,Não possui,Não possui,Não possui,
81893,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81894,Não informado,Não informado,Não informado,
81895,Não possui,Não possui,Não possui,
81896,Não informado,Não informado,Não informado,
81897,Não informado,Não informado,Não informado,
81898,Não informado,Não informado,Não informado,
81900,Não possui,Não possui,Não possui,
81899,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados, Circuito de visitação adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille",Atendimento ao turista estrageiro: inglês e francês,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
81901,Não possui,Não possui,Não possui,
81902,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não informado,Não informado,Acesso e mobilidade (Locomoção)
81903,Não informado,Não informado,Não informado,
81904,Não possui,Não possui,Não possui,
81905,Circuito de visitação adaptado,Não informado,Não informado,Acesso e mobilidade (Locomoção)
81906,Não informado,Não informado,Não informado,
81907,Não possui,Não possui,Não possui,
81908,"Corrimão nas escadas e rampas, Rampa de acesso",Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
81909,Não possui,Não possui,Não possui,
81910,Não possui,Não possui,Não possui,
81911,Não possui,Não possui,Não possui,
81912,Não possui,Não possui,Não possui,
81913,Não informado,Não informado,Não informado,
81914,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81915,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado","Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Texto/Etiquetas em Braille",Sinalização visual,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81916,Não possui,Não possui,Não possui,
81917,Não informado,Não informado,Não informado,
81918,Não informado,Não informado,Não informado,
81919,Não informado,Não informado,Não informado,
81920,"Sanitário adaptado, Cadeira de rodas para uso do visitante",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Acesso e mobilidade (Locomoção), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
81921,Não possui,Não possui,Não possui,
81922,Não informado,Não informado,Não informado,
81923,Não possui,Não possui,Não possui,
81924,Não informado,Não informado,Não informado,
81925,Não informado,Não informado,Não informado,
81926,"Sanitário adaptado, Banheiros adaptados",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81927,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Livreto em Braille,"Sinalização visual, Vídeo em inglês","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81928,Não informado,Não informado,Não informado,
81929,Não informado,Não informado,Não informado,
81930,Não possui,Não possui,Não possui,
81931,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante, Circuito de visitação adaptado, Bebedouro adaptado",Piso tátil,"Sinalização visual, Material de divulgação impresso","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
81932,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado, Telefone público adaptado","Sinalização tátil, Texto/Etiquetas em Braille, Audiodescrição","Guia, monitor e/ou mediador, Material de divulgação impresso","Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81933,Não possui,Não possui,Sinalização visual,Recursos de Comunicação (Auditiva e Idiomas)
81934,Não informado,Não informado,Não informado,
81935,Não informado,Não informado,Não informado,
81936,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Sinalização tátil, Texto/Etiquetas em Braille","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
81937,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81938,Não informado,Não informado,Não informado,
81939,Não possui,Não possui,Não possui,
81940,Não informado,Não informado,Não informado,
81941,Não informado,Não informado,Não informado,
81942,Não informado,Não informado,Não informado,
81943,Não informado,Não informado,Não informado,
81944,Não informado,Não informado,Não informado,
81945,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado",Não possui,Material de divulgação impresso,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
81946,Não informado,Não informado,Não informado,
81947,Não informado,Não informado,Não informado,
81948,Não possui,Não possui,Não possui,
81949,Não informado,Não informado,Não informado,
81950,Não informado,Não informado,Não informado,
81951,Não informado,Não informado,Não informado,
81952,Não possui,Não possui,Não possui,
81953,Não possui,Tradutor de Língua Brasileira de Sinais (LIBRAS),"Guia, monitor e/ou mediador",
81954,Não informado,Não informado,Não informado,
81955,Não possui,Não possui,"Guia, monitor e/ou mediador",
81956,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81957,Não informado,Não informado,Não informado,
81958,Não informado,Não informado,Não informado,
81959,Corrimão nas escadas e rampas,Não informado,Não informado,Acesso e mobilidade (Locomoção)
81960,Não informado,Não informado,Não informado,
81961,Não possui,Não possui,Não possui,
81962,Não informado,Não informado,Não informado,
81963,Banheiros adaptados,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81964,Não possui,Não possui,Não possui,
81965,Não informado,Não informado,Não informado,
81966,Não possui,Não possui,Não possui,
81967,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81968,Não informado,Não informado,Não informado,
81969,Não possui,Não possui,Não possui,
81970,Bebedouro adaptado,Não informado,Não informado,Acesso e mobilidade (Locomoção)
81971,Não possui,Não possui,Não possui,
81972,Não informado,Não informado,Não informado,
81973,Elevador,Não possui,Não possui,Acesso e mobilidade (Locomoção)
81974,"Sanitário adaptado, Banheiros adaptados",Não possui,Não possui,Acesso e mobilidade (Locomoção)
81975,Não possui,Não possui,Não possui,
81976,Não informado,Não informado,Não informado,
81977,Não informado,Não informado,Não informado,
81978,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
81979,Não possui,Não possui,Não possui,
81980,Não possui,Não possui,Não possui,
81981,Não possui,Não possui,Não possui,
81983,Não informado,Não informado,Não informado,
81984,Não informado,Não informado,Não informado,
81985,Não informado,Não informado,Não informado,
81986,Não informado,Não informado,Não informado,
81987,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Audiodescrição,O guia é eletrônico,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
81988,Não informado,Não informado,Não informado,
81989,Não informado,Não informado,Não informado,
81990,Não possui,Não possui,Não possui,
81991,Não possui,Não possui,Não possui,
81992,Não informado,Não informado,Não informado,
81993,Não informado,Não informado,Não informado,
81994,Não possui,Não possui,Não possui,
81995,Não informado,Não informado,Não informado,
81997,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81998,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados",Não possui,Sinalização visual,"Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
81999,Não possui,Não possui,Não possui,
82000,Não informado,Não informado,Não informado,
82001,Não possui,Não possui,Não possui,
82002,Não possui,Não possui,Não possui,
82003,Não informado,Não informado,Não informado,
82004,"Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos",Não informado,Não possui,Acesso e mobilidade (Locomoção)
82005,Não informado,Não informado,Não informado,
82006,Não informado,Não informado,Não informado,
82007,Não informado,Não informado,Não informado,
82008,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
82009,Não possui,Não possui,Não possui,
82010,"Corrimão nas escadas e rampas, Elevador, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, Bebedouro adaptado",Não possui,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
82012,Não informado,Não informado,Não informado,
